timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:56:44.801878+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:56:44.801878+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:57:45.121239+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:57:45.121239+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:58:45.325066+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:58:45.325066+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:59:45.539033+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:59:45.539033+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:01:22.364700+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:01:22.364700+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:02:22.603066+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:02:22.603066+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:03:22.857561+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:03:22.857561+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:04:23.082828+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:04:23.082828+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:05:23.269051+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:05:23.269051+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:06:23.482334+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:06:23.482334+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T19:07:23.912668+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:07:23.912668+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T19:08:24.131341+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:08:24.131341+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T19:09:24.355996+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:09:24.355996+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T19:23:53.130898+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:23:53.130898+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.48,0.48,0.54,0.46,0.52,N/A
2024-10-30T19:24:53.336634+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:24:53.336634+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.48,0.48,0.54,0.46,0.52,N/A
2024-10-30T19:25:53.533321+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:25:53.533321+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.48,0.48,0.54,0.46,0.52,N/A
2024-10-30T19:26:53.721854+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:26:53.721854+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:27:53.936050+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:27:53.936050+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:28:54.150255+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:28:54.150255+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:29:54.336949+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:29:54.336949+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T19:30:54.535779+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T19:30:54.535779+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.48,0.48,0.53,0.47,0.52,N/A
